Compound Name,Mechanism of Action
(F-18)-DCFPyL,Drug not found in PubChem
),Drug not found in PubChem
(R)-9bMS,Mechanism of Action section not found
+/- chemotherapy,Drug not found in PubChem
0.25% ropivacaine,Drug not found in PubChem
0.375% Ropivacaine,Drug not found in PubChem
0.5 mg/kg,Drug not found in PubChem
0.5 mg/mL,Drug not found in PubChem
0.5% Ropivacaine,Drug not found in PubChem
10 mg,Drug not found in PubChem
1 cycle every 21 days,Drug not found in PubChem
100mg/m2,Drug not found in PubChem
111In-ABD147,Drug not found in PubChem
111In-ETN029,Drug not found in PubChem
12mg d1,Drug not found in PubChem
130 mCi NYMO32,Drug not found in PubChem
14C-bleximenib,Drug not found in PubChem
14C-labeled AL8326,Drug not found in PubChem
177 Lutetium Prostate-Specific Membrane Antigen 617,Drug not found in PubChem
153Sm-DOTMP,Mechanism of Action section not found
177Lu-CTR-FAPI,Drug not found in PubChem
177Lu-CTR-FAPI nuclide-targeted therapy,Drug not found in PubChem
177Lu-DFC413,Drug not found in PubChem
177Lu-Dotatate (7.4 Gigabecquerel/cycle) during 30 min intravenous infusion every 16 weeks (q8w) x 4 cycles; 2) and 3) as in the experimental arm,Drug not found in PubChem
177Lu-Dotatate (7.4 Gigabecquerel/cycle) during 30 min intravenous infusion every 8 weeks (q8w) x 4 cycles; 2) and 3) as in the experimental arm,Drug not found in PubChem
177Lu-Dotatate,"Somatostatin receptors (SSRT) are inhibitory G-protein coupled receptors that are ubiquitously expressed in normal and cancer cells. The natural ligand of SSRTs, somatostatin, is a potent inhibitory regulator of pituitary and gastrointestinal hormone release and proliferation. Advanced and well-differentiated neuroendocrine tumors express high levels of somatostatin receptors, especially somatostatin recetor type 2 (SSRT2), and have the ability to incorporate amines intracellularly and decarboxylate them.   As an analogue of somatostatin, Lutetium Lu 177 dotatate binds to somatostatin receptor with highest binding affinity for SSRT2. Upon binding to SSRT-expressing cells, including malignant somatostatin receptor-positive tumors, the radiolabelled compound is internalized and the beta emission from the radioligand Lu 177 induces cellular damage by formation of free radicals in somatostatin receptor-positive cells and in neighboring cells. As with other somatostatin analogues, Lu177 dotatate is expected to suppress excessive secretion of amines and hormones, such as serotonin, from carcinoid tumors and certain types of endocrine pancreatic tumors (glucagonoma, VIPoma and gastrinoma). The release of peptides and other gastrointestinal hormones important in tumor growth, including gastrin, cholecystokinin and epidermal growth factor (EGF), may also be reduced through promoted somtatostatin signalling pathways."
177Lu-LNC1003,Drug not found in PubChem
177Lu-LNC1004,Drug not found in PubChem
177Lu-PSMA-0057,Drug not found in PubChem
177Lu-PNT2002,Mechanism of Action section not found
177Lu-R11228,Drug not found in PubChem
177Lu-PSMA-617,Mechanism of Action section not found
177Lu-RAD202,Drug not found in PubChem
18 F FDG followed by PET/CT imaging,Drug not found in PubChem
18-PSMA,Drug not found in PubChem
18-FDG,Mechanism of Action section not found
18F-Fluciclovine,Drug not found in PubChem
18F-FDG,Mechanism of Action section not found
18F-G1,Drug not found in PubChem
18F-NaF,Mechanism of Action section not found
18F-MFBG,Mechanism of Action section not found
18F-TRX,Drug not found in PubChem
18F-labeled DPA-714 PET scan,Drug not found in PubChem
18F-mFBG,Mechanism of Action section not found
18F-rhPSMA-7.3,Mechanism of Action section not found
2.0 mg/kg,Drug not found in PubChem
2.5 mg/kg,Drug not found in PubChem
200 mCi NYMO32,Drug not found in PubChem
20 mg,Drug not found in PubChem
20mg/kg Q3W,Drug not found in PubChem
2141 V11,Drug not found in PubChem
225Ac-ABD147,Drug not found in PubChem
225Ac-ETN029,Drug not found in PubChem
225Ac-LNC1011,Drug not found in PubChem
225Ac-SSO110 + SoC,Drug not found in PubChem
240 mg,Drug not found in PubChem
225Ac-TR2205,Drug not found in PubChem
28 days,Drug not found in PubChem
3.0 mg/kg,Drug not found in PubChem
30 mCi NYMO32,Drug not found in PubChem
300 mg BID,Drug not found in PubChem
30mg,Drug not found in PubChem
400 mg,Drug not found in PubChem
40mg,Drug not found in PubChem
4mM,Drug not found in PubChem
5 FU continuous,Drug not found in PubChem
5 FU bolus,Drug not found in PubChem
5 Fluorouracil,"The precise mechanism of action has not been fully determined, but the main mechanism of fluorouracil is thought to be the binding of the deoxyribonucleotide of the drug (FdUMP) and the folate cofactor, N5–10-methylenetetrahydrofolate, to thymidylate synthase (TS) to form a covalently bound ternary complex. This results in the inhibition of the formation of thymidylate from uracil, which leads to the inhibition of DNA and RNA synthesis and cell death. Fluorouracil can also be incorporated into RNA in place of uridine triphosphate (UTP), producing a fraudulent RNA and interfering with RNA processing and protein synthesis.

5-FU requires enzymatic conversion to the nucleotide (ribosylation and phosphorylation) in order to exert its cytotoxic activity. Several routes are available for the formation of the 5'-monophosphate nucleotide (F-UMP) in animal cells. 5-FU may be converted to fluorouridine by uridine phosphorylase and then to F-UMP by uridine kinase, or it may react directly with 5-phosphoribosyl-1-pyrophosphate (PRPP), in a reaction catalyzed by ... orotate phosphoribosyl transferase, to form F-UMP. Many metabolic pathways are available to F-UMP, including incorporation in to RNA. A reaction sequence crucial for antineoplastic activity involves reduction of the diphosphate nucleotide by the enzyme ribonucleoside diphosphate reductase to the deoxynucleotide level and the eventual formation of 5-fluoro-2'-deoxyuridine-5'-phosphate (F-dUMP). 5-FU also may be converted directly to the deoxyriboside 5-FUdR by the enzyme thymidine phosphorylase and further to F-dUMP, a potent inhibitor of thymidylate synthesis, by thymidine kinase ... The interaction between F-dUMP and the enzyme thymidylate synthase leads to depletion of TTP, a necessary constituent of DNA ... The folate cofactor, 5,10-methylenetetrahydrofolate, and F-dUMP form a covalently bound ternary complex with the enzyme. The inhibitory complex resembles the transition state formed during the normal enzymatic reaction when dUMP is converted to thymidylate. Although the physiological complex progresses to the synthesis of thymidylate by transfer of the methylene group and 2 hydrogen atoms from folate to dUMP, this reaction is blocked in the inhibitory complex by the stability of the fluorine carbon bond on F-dUMP; sustained inhibition of the enzyme results ...

Although the precise mechanisms of action of fluorouracil have not been fully elucidated, the main mechanism is thought to be the binding of the deoxyribonucleotide of the drug (FdUMP) and the folate cofactor, N5-10-methylenetetrahydrofolate, to thymidylate synthase (TS) to form a covalently bound ternary complex, which inhibits the formation of thymidylate from uracil, thereby interfering with DNA synthesis. In addition, FUTP can be incorporated into RNA in place of uridine triphosphate (UTP), producing a fraudulent RNA and interfering with RNA processing and protein synthesis.

Fluorouracil is an antimetabolite of the pyrimidine analog type. Fluorouracil is considered to be cell cycle-specific for the S phase of cell division. Activity results from its conversion to an active metabolite in the tissues, and includes inhibition of DNA and RNA synthesis.

There is evidence that the metabolism of fluorouracil in the anabolic pathway blocks the methylation reaction of deoxyuridylic acid to thymidylic acid. In this manner fluorouracil interferes with the synthesis of deoxyribonucleic acid (DNA) and to a lesser extent inhibits the formation of ribonucleic acid (RNA). Since DNA and RNA are essential for cell division and growth, the effect of fluorouracil may be to create a thymine deficiency which provokes unbalanced growth and death of the cell. The effects of DNA and RNA deprivation are most marked on those cells which grow more rapidly and take up fluorouracil at a more rapid rate. The catabolic metabolism of fluorouracil results in degradation products (eg, CO2 , urea, (alpha)-fluoro-(beta)-alanine) which are inactive. /Efudex Solutions/

For more Mechanism of Action (Complete) data for FLUOROURACIL (7 total), please visit the HSDB record page."
5 mM,Drug not found in PubChem
